% Vallado SGP4 Result (TEME Frame)
% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
    256.0000    1441.072977    3912.530207   -5592.442301   -0.443499396   -6.128075119   -4.393895222
    257.0000    1411.446156    3536.861564   -5844.078710   -0.543711671   -6.389780609   -3.991022053
    258.0000    1375.873899    3146.294538   -6071.031154   -0.641610728   -6.624512880   -3.571386679
    259.0000    1334.507310    2742.477209   -6272.346597   -0.736788038   -6.831301747   -3.136756656
    260.0000    1287.521652    2327.112385   -6447.179861   -0.828846979   -7.009293763   -2.688958473
    261.0000    1235.115595    1901.950510   -6594.796941   -0.917404324   -7.157754967   -2.229870106
    262.0000    1177.510364    1468.782426   -6714.577872   -1.002091657   -7.276073197   -1.761413527
    263.0000    1114.948810    1029.432004   -6806.019142   -1.082556732   -7.363759979   -1.285547177
    264.0000    1047.694406     585.748675   -6868.735654   -1.158464757   -7.420452028   -0.804258421
    265.0000     976.030155     139.599885   -6902.462235   -1.229499619   -7.445912364   -0.319555987
    266.0000     900.257439    -307.136514   -6907.054691   -1.295365053   -7.440031061    0.166537614
    267.0000     820.694793    -752.579895   -6882.490404   -1.355785739   -7.402825640    0.651993669
    268.0000     737.676617   -1194.854511   -6828.868479   -1.410508356   -7.334441111    1.134784876
    269.0000     651.551824   -1632.097133   -6746.409428   -1.459302565   -7.235149656    1.612892971
    270.0000     562.682437   -2062.464667   -6635.454397   -1.501961946   -7.105349953    2.084316374
    271.0000     471.442122   -2484.141710   -6496.463935   -1.538304859   -6.945566119    2.547077874
    272.0000     378.214680   -2895.348038   -6330.016303   -1.568175261   -6.756446275    2.999232324
    273.0000     283.392489   -3294.345990   -6136.805313   -1.591443433   -6.538760687    3.438874360
    274.0000     187.374902   -3679.447732   -5917.637712   -1.608006655   -6.293399479    3.864146121
    275.0000      90.566610   -4049.022367   -5673.430101   -1.617789784   -6.021369888    4.273244956
    276.0000      -6.624026   -4401.502869   -5405.205389   -1.620745755   -5.723793032    4.664431091
    277.0000    -103.786677   -4735.392801   -5114.088794   -1.616855978   -5.401900175    5.036035225
    278.0000    -200.510757   -5049.272803   -4801.303390   -1.606130639   -5.057028461    5.386466017
    279.0000    -296.387163   -5341.806802   -4468.165205   -1.588608876   -4.690616108    5.714217416
    280.0000    -391.010007   -5611.747916   -4116.077894   -1.564358842   -4.304197041    6.017875787
