% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
    163.0000    1304.886658    2451.639457   -6397.625479   -0.809653338   -6.957244412   -2.821955202
    164.0000    1253.594888    2029.336361   -6553.321532   -0.899469111   -7.114549204   -2.366069592
    165.0000    1197.026008    1598.490575   -6681.355647   -0.985494934   -7.241898947   -1.900215145
    166.0000    1135.418235    1160.915911   -6781.187846   -1.067372863   -7.338764599   -1.426336655
    167.0000    1069.030761     718.454208   -6852.395834   -1.144761992   -7.404741264   -0.946410648
    168.0000     998.142687     272.967839   -6894.676678   -1.217339695   -7.439549507   -0.462437927
    169.0000     923.051897    -173.667844   -6907.848040   -1.284802817   -7.443036299    0.023563924
    170.0000     844.073851    -619.572117   -6891.848954   -1.346868802   -7.415175623    0.509568050
    171.0000     761.540316   -1062.866516   -6846.740163   -1.403276771   -7.356068726    0.993545870
    172.0000     675.798039   -1501.682471   -6772.703985   -1.453788540   -7.265944031    1.473474654
    173.0000     587.207350   -1934.168926   -6670.043741   -1.498189587   -7.145156693    1.947345143
    174.0000     496.140717   -2358.499922   -6539.182713   -1.536289959   -6.994187791    2.413169207
    175.0000     402.981248   -2772.882114   -6380.662643   -1.567925121   -6.813643132    2.868987548
    176.0000     308.121139   -3175.562215   -6195.141771   -1.592956739   -6.604251653    3.312877436
    177.0000     211.960082   -3564.834320   -5983.392410   -1.611273390   -6.366863397    3.742960478
    178.0000     114.903630   -3939.047101   -5746.298048   -1.622791204   -6.102447020    4.157410383
    179.0000      17.361527   -4296.610835   -5484.849990   -1.627454408   -5.812086832    4.554460734
    180.0000     -80.253990   -4636.004243   -5200.143537   -1.625235788   -5.496979313    4.932412694
    181.0000    -177.529920   -4955.781100   -4893.373696   -1.616137043   -5.158429104    5.289642645
    182.0000    -274.054234   -5254.576592   -4565.830445   -1.600189025   -4.797844441    5.624609693
    183.0000    -369.417636   -5531.113375   -4218.893549   -1.577451862   -4.416732025    5.935862997
    184.0000    -463.215311   -5784.207321   -3854.026942   -1.548014945   -4.016691306    6.222048860
    185.0000    -555.048686   -6012.772893   -3472.772694   -1.511996777   -3.599408205    6.481917529
    186.0000    -644.527160   -6215.828128   -3076.744581   -1.469544679   -3.166648256    6.714329630
    187.0000    -731.269826   -6392.499200   -2667.621279   -1.420834335   -2.720249201    6.918262175
    188.0000    -814.907155   -6542.024517   -2247.139215   -1.366069192   -2.262113072    7.092814086
    189.0000    -895.082635   -6663.758324   -1817.085099   -1.305479684   -1.794197776    7.237211152
    190.0000    -971.454369   -6757.173797   -1379.288180   -1.239322318   -1.318508251    7.350810380
    191.0000   -1043.696604   -6821.865591    -935.612259   -1.167878579   -0.837087240    7.433103668
    192.0000   -1111.501196   -6857.551822    -487.947504   -1.091453706   -0.352005745    7.483720764
    193.0000   -1174.578992   -6864.075472     -38.202107   -1.010375302    0.134646756    7.502431464
    194.0000   -1232.661129   -6841.405199     411.706165   -0.924991820    0.620772273    7.489147023
    195.0000   -1285.500238   -6789.635547     859.858480   -0.835670917    1.104274342    7.443920759
    196.0000   -1332.871538   -6708.986555    1304.343463   -0.742797699    1.583068084    7.366947832
    197.0000   -1374.573838   -6599.802759    1743.265680   -0.646772862    2.055090173    7.258564219
    198.0000   -1410.430403   -6462.551606    2174.754039   -0.548010756    2.518308652    7.119244876
    199.0000   -1440.289724   -6297.821281    2596.970051   -0.446937383    2.970732515    6.949601128
    200.0000   -1464.026148   -6106.317969    3008.115920   -0.343988341    3.410420975    6.750377313
    201.0000   -1481.540395   -5888.862576    3406.442401   -0.239606741    3.835492357    6.522446728
    202.0000   -1492.759947   -5646.386921    3790.256405   -0.134241110    4.244132559    6.266806912
    203.0000   -1497.639306   -5379.929442    4157.928294   -0.028343294    4.634603023    5.984574354
    204.0000   -1496.160132   -5090.630433    4507.898843    0.077633623    5.005248190    5.676978648
    205.0000   -1488.331260   -4779.726861    4838.685845    0.183237362    5.354502386    5.345356194
    206.0000   -1474.188582   -4448.546770    5148.890314    0.288018458    5.680896145    4.991143486
