% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
    265.0000     963.671371      67.415225   -6902.374512   -1.240729372   -7.448593969   -0.241139730
    266.0000     887.248916    -379.329814   -6902.247479   -1.305784509   -7.437630905    0.245382247
    267.0000     807.086673    -824.475937   -6872.947892   -1.365344606   -7.395314203    0.730936369
    268.0000     723.521966   -1266.146254   -6814.594775   -1.419159504   -7.321809890    1.213492194
    269.0000     636.906436   -1702.477666   -6727.428710   -1.467002244   -7.217411409    1.691029584
    270.0000     547.604623   -2131.628484   -6611.810985   -1.508669992   -7.082538882    2.161546387
    271.0000     455.992491   -2551.786007   -6468.222290   -1.543984898   -6.917737993    2.623066142
    272.0000     362.455905   -2961.174003   -6297.260936   -1.572794898   -6.723678469    3.073645806
    273.0000     267.389062   -3358.060104   -6099.640620   -1.594974440   -6.501152160    3.511383499
    274.0000     171.192880   -3740.763058   -5876.187724   -1.610425140   -6.251070664    3.934426246
    275.0000      74.273350   -4107.659834   -5627.838145   -1.619076356   -5.974462494    4.340977708
    276.0000     -22.960145   -4457.192538   -5355.633669   -1.620885667   -5.672469757    4.729305857
    277.0000    -120.096530   -4787.875118   -5060.717883   -1.615839262   -5.346344320    5.097750591
    278.0000    -216.724771   -5098.299818   -4744.331632   -1.603952217   -4.997443437    5.444731216
    279.0000    -312.435607   -5387.143357   -4407.808035   -1.585268659   -4.627224839    5.768753769
    280.0000    -406.823298   -5653.172796   -4052.567068   -1.559861801   -4.237241254    6.068418131
    281.0000    -499.487366   -5895.251060   -3680.109728   -1.527833846   -3.829134375    6.342424857
    282.0000    -590.034333   -6112.342081   -3292.011791   -1.489315755   -3.404628270    6.589581681
    283.0000    -678.079427   -6303.515527   -2889.917202   -1.444466863   -2.965522244    6.808809614
    284.0000    -763.248278   -6467.951090   -2475.531106   -1.393474342   -2.513683194    6.999148594
    285.0000    -845.178563   -6604.942303   -2050.612553   -1.336552514   -2.051037467    7.159762605
    286.0000    -923.521611   -6713.899848   -1616.966918   -1.273942011   -1.579562280    7.289944220
    287.0000    -997.943955   -6794.354342   -1176.438067   -1.205908773   -1.101276749    7.389118501
    288.0000   -1068.128814   -6845.958576    -730.900305   -1.132742899   -0.618232580    7.456846221
    289.0000   -1133.777506   -6868.489180    -282.250156   -1.054757359   -0.132504496    7.492826356
    290.0000   -1194.610778   -6861.847718     167.601984   -0.972286557    0.353819530    7.496897809
    291.0000   -1250.370046   -6826.061182     616.740278   -0.885684774    0.838648164    7.469040367
    292.0000   -1300.818536   -6761.281896    1063.251907   -0.795324498    1.319896638    7.409374842
